Noun	Существительное
Verb	Глагол
Adverb	Наречие
Postposition	Послелог
Quantifier	Квантификатор
Pronoun	Местоимение
Adjective	Прилагательное
Personal pronoun	Личное местоимение
Conjunction	Союз
Particle	Частица
Interrogative	Вопросительное слово
Pro-form	Про-форма
Nominative	Именительный падеж (NOM)
Accusative	Винительный падеж (ACC). В множественном числе специальная основа
Ablative	Аблатив (ABL)
Dative	Дательный падеж (DAT). Алломорф -n° используется с основами на гласный, -t° с основами на согласный
Genitive	Родительный падеж (GEN)
Locative	Локатив (LOC)
Prolative	Пролатив (PROL)
Singular	Единственное число
Plural	Множественное число. В посессивном склонении формы NOM.PL, GEN.PL и ACC.PL образуются от основы ACC.PL
Dual	Двойственное число. Дуалис без посессива только в NOM, GEN, ACC
1st person	1-е лицо
2nd person	2-е лицо
3rd person	3-е лицо
1st singular possessive	Посессивность 1SG. Показатель -j°/-m°
2nd singular possessive	Посессивность 2SG. Показатель -λ°
3rd singular possessive	Посессивность 3SG. Показатель -ta
1st plural possessive	Посессивность 1PL. Показатель -maʔ
2nd plural possessive	Посессивность 2PL. Показатель -λaʔ
3rd plural possessive	Посессивность 3PL. Показатель -tuŋ
1st dual possessive	Посессивность 1DU. Показатель -j°(ʔ)
2nd dual possessive	Посессивность 2DU. Показатель -λ ́°-č°
3rd dual possessive	Посессивность 3DU. Показатель -č°
predestinative Предестинатив -t°. Сочетается с посессивными показателями
Future	Будущее время. Показатель -n°- / -t°-
Past	Прошедшее время. Показатель -š°- присоединяется после аффиксов лично-числового согласования
Imperative	Императив. Показатель -ʔ, формы 2DU и 2PL совпадают с индикативом
Hortative	Гортатив. Показатель -ka / -xa
Optative	Оптатив/юссив. Показатель -dʹa- / -j°-
Subjunctive	Субъюнктив. Показатель -dʹi-
Past question	Прошедшее вопросительное. Показатель -sa- / -ša-
Evidential	Эвиденциальность. Показатель -mæ-, может звучать как -mi- / -măj-
Approximative	Эпистемическая необходимость. Показатель -λ°xa-
Necessitative	Необходимость. Показатель -wsu- / -su-
Evasive	Эвазив
Habitual	Хабитуалис. Показатель -š°tu-, редуцированный гласный никогда не проясняется
Durative	Длительный аспект. Имперфективизатор для переходных глаголов, показатель -(m)ṕo
Durative 2	Длительный аспект 2. Имперфективизатор для непереходных глаголов, показатель -n°- / -t°- / -nt°
Multiplicative	Мультипликатив. Показатель -(o)λʹ-, если основа оканчивается на гласный — просто -λʹ, на согласный — -oλʹ
Inchoative	Инхоатив. Показатель -(n)λa-, для первично или вторично непредельных глаголов
Attenuative	Аттенуатив. Показатель -(dʹa)pče-, ‘немного’
Aspect DK	Аспект DK (специфический аспект)
Converb	Конверб. Показатели -š° / -° / -ʔ
Conditional	Условная форма. Показатели -p°ʔ(na) / -p°t
Nominal non-past	Имперфективная номинализация. Показатель -ma-
Nominal past	Перфективная номинализация. Показатель -(o)ʔma-
Supine	Супин. Показатель -wănš°
Present participle	Причастие настоящего времени. Показатель -na- ~ -ta-, только к имперфективным основам
Past participle	Причастие прошедшего времени. Показатель -mæ-, часто звучит как -mi-
Future participle	Проспективное причастие. Показатель -wanta
Negative participle	Отрицательное причастие. Показатель -w°t°mæ
Auditive	Аудитив. Показатель -won°, берёт посессивное согласование
Resultative participle	Результативное причастие. Показатель -pi
SFS stem	SFS основа. Финитная основа, показатель -dʹa- / -j°-
GFS stem	GFS основа. Финитная основа, показатель -ŋa- / -°-
Object dual stem	Двойственная объектная основа. Показатель -x°dʹo-, прибавляется к GFS при двойственном объекте
Detransitive	Детранзитив. Показатель -(ŋ)ko
Detransitive 2	Детранзитив 2. Показатель -n°- / -t°- / -nt°, совпадает с DUR2
Transitive	Транзитив. Показатель -ta
Causative	Каузатив. Показатель -pta
Causative 2	Каузатив 2. Показатель -λa, появляется после основ на /m/
Causative 3	Каузатив 3. Показатель -λapta, эффекты ненамеренной каузации
Stative	Статив. Перегласовка в последнем гласном основы, часто присоединяется к переходной основе
Andative	Андатив. Показатель -soʔ-, ‘пойти делать P’
Venitive	Вентив. Показатель -sod’a-, ‘прийти делать P’
Emphatic	Эмфатик. Показатель -w°, встречается на конце глагольных словоформ
Conjunctive	Конъюнктив. Показатель -xăλt, временная ограниченность
Negative	Отрицание. Показатель ńi-
Emphatic negative	Эмфатическое отрицание. Показатель wi-
Prohibitive	Прохибитив. Показатель ńeńu-
Connegative	Коннегатив. Показатель -ʔ / -s, -s- возникает после смычки
Attributivizer	Атрибутивизатор. Показатель -j° / -i...
Inclusive attributivizer	Инклюзивный атрибутивизатор. Образует прилагательные со значением склонности к чему-либо
Proprietive attributivizer	Проприетивный атрибутивизатор. Показатель -sami
Locative attributivizer	Локативный атрибутивизатор. Показатель -xăj°, ‘~находящийся в’
Local nominalizer	Локальный номинализатор. Место действия
Instrumental nominalizer	Инструментальный номинализатор. Показатель -š°-, -wš°-, инструмент действия
Modal	Модератив. Показатель -mpoj
Augmentative	Аугментатив. Показатель -dʹaʔj°, используется также как атрибутивизатор
Augmentative A	Аугментатив A. Показатель -kodʹi, на прилагательных
Diminutive	Диминутив. Показатель =ʔudʹi, N, Adj, ±Adv
Diminutive 2	Диминутив 2. Показатель -ʰku(dʹi)-, N, Adj, ±Adv, PostP
Limitative  Лимитатив. Показатель -λˊi-, ‘только’, линейная позиция в словоформе как у λ́i
Scalative	Скалярный. Показатель -xăλt°-, ‘даже’, линейная позиция как у λ́i
Topicalizer	Топикализатор. Показатель -xăma-, контрастный топик
Similative	Симилятив. Показатель -λ°xa-, ‘похожий на X’
Ordinal	Образует порядковые числительные
Transformativer	Трансформатив. Показатель -m-, делает из именных основ глагол ‘стать X’
Caritive verbalizer	Каритивный вербализатор. Показатель -šă-, возвращает глагол
Caritive adverbializer	Каритивный адвербиализатор. Показатель -šiṕoj, возвращает наречие
Essive adverbializer	Эссив. Показатель -ŋæ. Может выполнять функции транслатива (‘стать X’)
Subjective conjugation	Субъективное спряжение. Согласование по субъекту
Objective conjugation	Объективное спряжение. Согласование по субъекту и объекту
Reflexive conjugation	Рефлексивное спряжение. Действие направлено на самого себя

1st singular subject	Субъект 1SG
2nd singular subject	Субъект 2SG
3rd singular subject	Субъект 3SG
1st plural subject	Субъект 1PL
2nd plural subject	Субъект 2PL
3rd plural subject	Субъект 3PL
1st dual subject	Субъект 1DU
2nd dual subject	Субъект 2DU
3rd dual subject	Субъект 3DU

Singular object	Объект в единственном числе
Non-singular object	Объект во множественном или двойственном числе

Parts of speech	Части речи
Cases	Падежи
Number & Person	Число и лицо
Possessive	Посессивность
TAME	Время, аспект, модальность, эвиденциальность
Verb forms	Глагольные формы
Verb Stem & Derivation	Глагольные основы и деривация
conjugation	Спряжение
Negation	Отрицание
Other	Другое
